      1  0.970747E-0002  0.783653E-0004  0.000000E+0000  0.120467E-0033
      2  0.106749E+0000  0.302559E-0002  0.000000E+0000  0.777440E-0032
      3  0.289265E+0000  0.150451E-0001  0.000000E+0000  0.448633E-0031
      4  0.381104E+0000  0.325506E-0001  0.000000E+0000  0.980772E-0031
      5  0.302066E+0000  0.416266E-0001  0.000000E+0000  0.118173E-0030
      6  0.158370E+0000  0.311873E-0001  0.000000E+0000  0.125652E-0030
      7  0.577738E-0001  0.152159E-0001  0.000000E+0000  0.899038E-0031
      8  0.151146E-0001  0.511836E-0002  0.000000E+0000  0.650752E-0031
      9  0.289155E-0002  0.124202E-0002  0.000000E+0000  0.583421E-0031
     10  0.409932E-0003  0.219400E-0003  0.000000E+0000  0.713848E-0031
     11  0.434770E-0004  0.279150E-0004  0.000000E+0000  0.800365E-0031
     12  0.347390E-0005  0.263286E-0005  0.000000E+0000  0.810387E-0031
     13  0.210230E-0006  0.187615E-0006  0.000000E+0000  0.215367E-0030
     14  0.967587E-0008  0.100039E-0007  0.000000E+0000  0.282855E-0030
     15  0.339802E-0009  0.401494E-0009  0.000000E+0000  0.197735E-0030
     16  0.912955E-0011  0.122604E-0010  0.000000E+0000  0.133791E-0030
     17  0.188062E-0012  0.285660E-0012  0.000000E+0000  0.382808E-0030
     18  0.297547E-0014  0.508236E-0014  0.000000E+0000  0.398359E-0030
     19  0.362133E-0016  0.687992E-0016  0.000000E+0000  0.466184E-0030
     20  0.339460E-0018  0.712523E-0018  0.000000E+0000  0.236022E-0030
     21  0.245350E-0020  0.568806E-0020  0.000000E+0000  0.206646E-0030
     22  0.136857E-0022  0.348311E-0022  0.000000E+0000  0.215131E-0030
     23  0.589632E-0025  0.163788E-0024  0.000000E+0000  0.274261E-0030
     24  0.196349E-0027  0.593175E-0027  0.000000E+0000  0.193209E-0030
     25  0.506314E-0030  0.166027E-0029  0.000000E+0000  0.283960E-0030
     26  0.178345E-0032  0.634532E-0032  0.000000E+0000  0.333045E-0030
     27  0.113209E-0032  0.437279E-0032  0.000000E+0000  0.517357E-0030
     28  0.750516E-0033  0.310692E-0032  0.000000E+0000  0.361725E-0030
