     10    5.246407E-04    5.251943E-03
     20    5.249984E-04    1.050016E-02
     30    5.251572E-04    1.575123E-02
     10    5.247247E-04    5.251856E-03
     20    5.249896E-04    1.050168E-02
     10    5.252397E-04    5.256253E-03
     20    5.254095E-04    1.050911E-02
     30    5.257320E-04    1.576522E-02
     10    5.252397E-04    5.256253E-03
     40    5.257084E-04    2.102245E-02
     20    5.254095E-04    1.050911E-02
     30    5.257320E-04    1.576522E-02
     40    5.257084E-04    2.102245E-02
     50    5.257367E-04    2.627972E-02
     60    5.254641E-04    3.153562E-02
     70    5.251514E-04    3.678858E-02
     10    5.252397E-04    5.256253E-03
     80    5.248041E-04    4.203821E-02
     20    5.254095E-04    1.050911E-02
     30    5.257320E-04    1.576522E-02
     10    5.252397E-04    5.256253E-03
     20    5.254095E-04    1.050911E-02
     10    5.252397E-04    5.256253E-03
     20    5.254095E-04    1.050911E-02
     10    5.247247E-04    5.251856E-03
