      0.00000E+00    1.37192E+00    4.87820E-01    1.62694E+00    3.33512E+00    4.87820E-01
      5.25940E-03    1.37195E+00    4.87661E-01    1.62644E+00    3.33518E+00    4.87660E-01
      1.05171E-02    1.37144E+00    4.87498E-01    1.62593E+00    3.33525E+00    4.87496E-01
      1.57751E-02    1.37044E+00    4.87329E-01    1.62540E+00    3.33532E+00    4.87328E-01
      2.10336E-02    1.36975E+00    4.87146E-01    1.62482E+00    3.33538E+00    4.87146E-01
      2.62912E-02    1.36818E+00    4.86939E-01    1.62416E+00    3.33544E+00    4.86943E-01
      3.15459E-02    1.36810E+00    4.86699E-01    1.62338E+00    3.33548E+00    4.86708E-01
      3.67972E-02    1.36758E+00    4.86414E-01    1.62244E+00    3.33552E+00    4.86433E-01
      4.20445E-02    1.36671E+00    4.86074E-01    1.62132E+00    3.33554E+00    4.86107E-01
      4.72874E-02    1.36585E+00    4.85673E-01    1.61998E+00    3.33554E+00    4.85724E-01
      5.25257E-02    1.36546E+00    4.85207E-01    1.61841E+00    3.33552E+00    4.85281E-01
      5.77590E-02    1.36557E+00    4.84673E-01    1.61662E+00    3.33548E+00    4.84777E-01
      6.29874E-02    1.36648E+00    4.84076E-01    1.61460E+00    3.33542E+00    4.84216E-01
      6.82109E-02    1.36601E+00    4.83422E-01    1.61238E+00    3.33534E+00    4.83605E-01
      7.34301E-02    1.36691E+00    4.82722E-01    1.61000E+00    3.33525E+00    4.82955E-01
      7.86452E-02    1.36795E+00    4.81989E-01    1.60751E+00    3.33515E+00    4.82278E-01
      8.38567E-02    1.36868E+00    4.81238E-01    1.60495E+00    3.33504E+00    4.81591E-01
      8.90654E-02    1.36902E+00    4.80485E-01    1.60238E+00    3.33493E+00    4.80909E-01
      9.42717E-02    1.37191E+00    4.79746E-01    1.59986E+00    3.33482E+00    4.80247E-01
      9.94762E-02    1.37343E+00    4.79035E-01    1.59744E+00    3.33471E+00    4.79622E-01
      1.04680E-01    1.37342E+00    4.78365E-01    1.59516E+00    3.33461E+00    4.79045E-01
      1.09882E-01    1.37639E+00    4.77746E-01    1.59305E+00    3.33452E+00    4.78526E-01
      1.15085E-01    1.37797E+00    4.77187E-01    1.59115E+00    3.33444E+00    4.78074E-01
      1.20287E-01    1.37857E+00    4.76692E-01    1.58947E+00    3.33437E+00    4.77692E-01
      1.25490E-01    1.38009E+00    4.76264E-01    1.58802E+00    3.33432E+00    4.77383E-01
      1.30694E-01    1.38148E+00    4.75902E-01    1.58679E+00    3.33429E+00    4.77144E-01
      1.35896E-01    1.38278E+00    4.75604E-01    1.58579E+00    3.33427E+00    4.76974E-01
      1.41098E-01    1.38278E+00    4.75366E-01    1.58500E+00    3.33427E+00    4.76866E-01
      1.46299E-01    1.38304E+00    4.75181E-01    1.58439E+00    3.33428E+00    4.76812E-01
      1.51499E-01    1.38329E+00    4.75044E-01    1.58394E+00    3.33430E+00    4.76806E-01
      1.56698E-01    1.38381E+00    4.74946E-01    1.58363E+00    3.33434E+00    4.76837E-01
      1.61896E-01    1.38317E+00    4.74881E-01    1.58344E+00    3.33439E+00    4.76896E-01
      1.67092E-01    1.38158E+00    4.74839E-01    1.58333E+00    3.33445E+00    4.76976E-01
      1.72288E-01    1.37906E+00    4.74815E-01    1.58328E+00    3.33453E+00    4.77066E-01
      1.77484E-01    1.37670E+00    4.74801E-01    1.58327E+00    3.33461E+00    4.77158E-01
      1.82679E-01    1.37470E+00    4.74791E-01    1.58328E+00    3.33470E+00    4.77246E-01
      1.87874E-01    1.37144E+00    4.74778E-01    1.58329E+00    3.33479E+00    4.77323E-01
