    0.000000E+0000  0.939326E+0000  0.132350E+0001  0.145340E+0000  0.175120E+0003  0.237258E+0001  0.238542E-0001  0.303206E+0001  0.000000E+0000  0.392750E-0013
    0.526367E-0002  0.939068E+0000  0.132277E+0001  0.145206E+0000  0.175104E+0003  0.237312E+0001 -0.383556E-0001  0.303698E+0001  0.202744E-0004  0.152152E+0000
    0.105265E-0001  0.938793E+0000  0.132200E+0001  0.145183E+0000  0.175015E+0003  0.237322E+0001 -0.997834E-0001  0.305774E+0001  0.317537E-0003  0.301131E+0000
    0.157877E-0001  0.938504E+0000  0.132118E+0001  0.145268E+0000  0.174857E+0003  0.237287E+0001 -0.159823E+0000  0.309358E+0001  0.157402E-0002  0.444446E+0000
    0.210463E-0001  0.938185E+0000  0.132029E+0001  0.145444E+0000  0.174632E+0003  0.237215E+0001 -0.217897E+0000  0.314329E+0001  0.484887E-0002  0.579725E+0000
    0.263016E-0001  0.937817E+0000  0.131925E+0001  0.145691E+0000  0.174347E+0003  0.237115E+0001 -0.273449E+0000  0.320507E+0001  0.114764E-0001  0.704769E+0000
    0.315527E-0001  0.937376E+0000  0.131801E+0001  0.145988E+0000  0.174006E+0003  0.236994E+0001 -0.325924E+0000  0.327651E+0001  0.229409E-0001  0.817607E+0000
    0.367987E-0001  0.936842E+0000  0.131651E+0001  0.146313E+0000  0.173614E+0003  0.236862E+0001 -0.374751E+0000  0.335438E+0001  0.407379E-0001  0.916564E+0000
    0.420387E-0001  0.936193E+0000  0.131469E+0001  0.146646E+0000  0.173177E+0003  0.236728E+0001 -0.419335E+0000  0.343469E+0001  0.662354E-0001  0.100034E+0001
    0.472721E-0001  0.935414E+0000  0.131250E+0001  0.146969E+0000  0.172699E+0003  0.236597E+0001 -0.459083E+0000  0.351274E+0001  0.100543E+0000  0.106811E+0001
    0.524984E-0001  0.934496E+0000  0.130993E+0001  0.147274E+0000  0.172182E+0003  0.236475E+0001 -0.493461E+0000  0.358367E+0001  0.144404E+0000  0.111963E+0001
    0.577173E-0001  0.933437E+0000  0.130696E+0001  0.147556E+0000  0.171627E+0003  0.236362E+0001 -0.522091E+0000  0.364326E+0001  0.198107E+0000  0.115534E+0001
    0.629287E-0001  0.932241E+0000  0.130361E+0001  0.147823E+0000  0.171033E+0003  0.236255E+0001 -0.544848E+0000  0.368898E+0001  0.261448E+0000  0.117641E+0001
    0.681331E-0001  0.930922E+0000  0.129992E+0001  0.148087E+0000  0.170397E+0003  0.236149E+0001 -0.561923E+0000  0.372062E+0001  0.333719E+0000  0.118481E+0001
    0.733312E-0001  0.929503E+0000  0.129596E+0001  0.148372E+0000  0.169715E+0003  0.236036E+0001 -0.573797E+0000  0.374023E+0001  0.413745E+0000  0.118323E+0001
    0.785236E-0001  0.928009E+0000  0.129180E+0001  0.148701E+0000  0.168983E+0003  0.235905E+0001 -0.581140E+0000  0.375124E+0001  0.499970E+0000  0.117488E+0001
    0.837116E-0001  0.926471E+0000  0.128752E+0001  0.149102E+0000  0.168196E+0003  0.235747E+0001 -0.584667E+0000  0.375724E+0001  0.590559E+0000  0.116329E+0001
    0.888958E-0001  0.924923E+0000  0.128322E+0001  0.149600E+0000  0.167356E+0003  0.235550E+0001 -0.585021E+0000  0.376112E+0001  0.683530E+0000  0.115190E+0001
    0.940773E-0001  0.923397E+0000  0.127899E+0001  0.150214E+0000  0.166463E+0003  0.235309E+0001 -0.582715E+0000  0.376466E+0001  0.776892E+0000  0.114377E+0001
    0.992569E-0001  0.921925E+0000  0.127492E+0001  0.150961E+0000  0.165521E+0003  0.235018E+0001 -0.578135E+0000  0.376882E+0001  0.868754E+0000  0.114126E+0001
    0.104435E+0000  0.920533E+0000  0.127107E+0001  0.151847E+0000  0.164540E+0003  0.234674E+0001 -0.571604E+0000  0.377429E+0001  0.957422E+0000  0.114580E+0001
    0.109613E+0000  0.919245E+0000  0.126752E+0001  0.152876E+0000  0.163526E+0003  0.234278E+0001 -0.563448E+0000  0.378212E+0001  0.104146E+0001  0.115787E+0001
    0.114790E+0000  0.918078E+0000  0.126430E+0001  0.154045E+0000  0.162491E+0003  0.233832E+0001 -0.554055E+0000  0.379420E+0001  0.111974E+0001  0.117713E+0001
    0.119968E+0000  0.917045E+0000  0.126146E+0001  0.155347E+0000  0.161445E+0003  0.233341E+0001 -0.543889E+0000  0.381311E+0001  0.119141E+0001  0.120264E+0001
    0.125146E+0000  0.916152E+0000  0.125900E+0001  0.156771E+0000  0.160397E+0003  0.232809E+0001 -0.533471E+0000  0.384201E+0001  0.125592E+0001  0.123311E+0001
    0.130325E+0000  0.915400E+0000  0.125693E+0001  0.158307E+0000  0.159355E+0003  0.232242E+0001 -0.523319E+0000  0.388342E+0001  0.131295E+0001  0.126717E+0001
    0.135505E+0000  0.914787E+0000  0.125525E+0001  0.159944E+0000  0.158326E+0003  0.231646E+0001 -0.513883E+0000  0.393862E+0001  0.136245E+0001  0.130353E+0001
    0.140687E+0000  0.914305E+0000  0.125393E+0001  0.161668E+0000  0.157313E+0003  0.231026E+0001 -0.505553E+0000  0.400826E+0001  0.140450E+0001  0.134101E+0001
    0.145870E+0000  0.913947E+0000  0.125295E+0001  0.163469E+0000  0.156322E+0003  0.230387E+0001 -0.498547E+0000  0.408966E+0001  0.143937E+0001  0.137866E+0001
    0.151055E+0000  0.913698E+0000  0.125227E+0001  0.165335E+0000  0.155352E+0003  0.229734E+0001 -0.493005E+0000  0.418005E+0001  0.146743E+0001  0.141568E+0001
    0.156241E+0000  0.913545E+0000  0.125185E+0001  0.167258E+0000  0.154405E+0003  0.229071E+0001 -0.489053E+0000  0.427754E+0001  0.148913E+0001  0.145147E+0001
    0.161426E+0000  0.913474E+0000  0.125165E+0001  0.169227E+0000  0.153480E+0003  0.228401E+0001 -0.486548E+0000  0.437452E+0001  0.150498E+0001  0.148556E+0001
    0.166610E+0000  0.913469E+0000  0.125164E+0001  0.171237E+0000  0.152575E+0003  0.227728E+0001 -0.485533E+0000  0.447015E+0001  0.151555E+0001  0.151765E+0001
    0.171795E+0000  0.913516E+0000  0.125177E+0001  0.173280E+0000  0.151689E+0003  0.227054E+0001 -0.485886E+0000  0.455912E+0001  0.152139E+0001  0.154752E+0001
    0.176980E+0000  0.913600E+0000  0.125200E+0001  0.175353E+0000  0.150817E+0003  0.226380E+0001 -0.487540E+0000  0.464017E+0001  0.152309E+0001  0.157502E+0001
    0.182164E+0000  0.913707E+0000  0.125229E+0001  0.177452E+0000  0.149958E+0003  0.225708E+0001 -0.490517E+0000  0.471430E+0001  0.152119E+0001  0.160012E+0001
    0.187349E+0000  0.913825E+0000  0.125261E+0001  0.179574E+0000  0.149108E+0003  0.225038E+0001 -0.494686E+0000  0.478028E+0001  0.151621E+0001  0.162280E+0001
